Customer_ID,Age,Gender,Marital_Status,Education_Level,Employment_Type,Annual_Income,Region,Credit_Score,Existing_Loans_Count,Dependents,Account_Balance,Loan_ID,Loan_Purpose,Loan_Amount,Loan_Term_Months,Interest_Rate,Debt_to_Income_Ratio_%,Application_Date,Approval_Date,Loan_Status,Default_Risk_Flag,Approval_Days,Loan_to_Income_Ratio,Loan_to_Income_Exposure_%,Application_Year,Application_Month,Application_Month_Name,Approval_Year,Loan_Size_Category,Credit_Score_Category,Loan_Exposure_Category
CUST15,24,Female,Divorced,Bachelor,Unemployed,140836,West,306,5,1,118273,LOAN15,Home Loan,947304,120,10.02,672.63,2020-09-17,2020-09-27,Default,1,10,6.7262915731773125,672.6291573177313,2020,9,September,2020,Large,Poor,Very High
CUST16,65,Male,Single,High School,Unemployed,92739,Central,703,1,2,397044,LOAN16,Education Loan,1350607,48,7.28,1456.35,2018-05-23,2018-05-27,Default,1,4,14.563527749921823,1456.3527749921823,2018,5,May,2018,Very Large,Good,Extreme
CUST17,61,Male,Single,Master,Self-Employed,173518,West,715,4,4,140107,LOAN17,Car Loan,1179359,60,8.19,679.68,2019-10-26,2019-11-07,Default,1,12,6.796753074608974,679.6753074608974,2019,10,October,2019,Very Large,Good,Very High
CUST18,29,Female,Single,High School,Self-Employed,117058,West,811,3,3,57624,LOAN18,Home Loan,159052,60,17.05,135.87,2020-08-02,2020-08-04,Default,1,2,1.3587452374036801,135.874523740368,2020,8,August,2020,Small,Excellent,Moderate
CUST19,49,Female,Married,PhD,Unemployed,86091,North,370,5,3,40210,LOAN19,Car Loan,684836,24,14.24,795.48,2020-09-01,2020-09-06,Default,1,5,7.954792022394908,795.4792022394907,2020,9,September,2020,Large,Poor,Very High
CUST20,62,Male,Married,Master,Self-Employed,93027,South,566,4,3,395567,LOAN20,Business Loan,1285186,36,5.13,1381.52,2020-07-17,2020-07-27,Default,1,10,13.815193438464101,1381.51934384641,2020,7,July,2020,Very Large,Poor,Extreme
CUST21,46,Male,Single,Bachelor,Self-Employed,169210,West,471,2,2,87501,LOAN21,Car Loan,876327,12,14.14,517.89,2018-01-23,2018-01-30,Default,1,7,5.178931505230187,517.8931505230187,2018,1,January,2018,Large,Poor,Very High
CUST22,38,Female,Divorced,High School,Salaried,31992,Central,767,0,3,172529,LOAN22,Car Loan,1339634,48,16.17,4187.4,2021-05-20,2021-05-23,Default,1,3,41.87403100775194,4187.403100775194,2021,5,May,2021,Very Large,Very Good,Extreme
CUST23,33,Male,Married,Bachelor,Self-Employed,156162,North,525,4,0,367387,LOAN23,Home Loan,509580,120,5.2,326.31,2023-03-08,2023-03-21,Default,1,13,3.263149805970723,326.3149805970723,2023,3,March,2023,Large,Poor,High
CUST24,24,Male,Divorced,PhD,Business,166102,North,683,5,1,381723,LOAN24,Business Loan,909808,36,12.91,547.74,2018-05-07,2018-05-16,Default,1,9,5.477405449663459,547.740544966346,2018,5,May,2018,Large,Good,Very High
CUST25,26,Female,Single,Bachelor,Self-Employed,52463,South,589,0,2,228559,LOAN25,Personal Loan,374958,84,9.03,714.71,2022-04-12,2022-04-13,Default,1,1,7.147094142538551,714.7094142538551,2022,4,April,2022,Medium,Fair,Very High
CUST26,45,Female,Divorced,High School,Salaried,60746,North,361,5,2,103982,LOAN26,Business Loan,241700,120,12.13,397.89,2023-03-23,2023-04-03,Default,1,11,3.978862805781451,397.8862805781451,2023,3,March,2023,Small,Poor,High
CUST27,30,Male,Single,Master,Business,58701,Central,315,0,4,216232,LOAN27,Business Loan,413485,24,17.95,704.39,2022-11-15,2022-11-21,Default,1,6,7.043917480111071,704.3917480111071,2022,11,November,2022,Medium,Poor,Very High
CUST28,61,Male,Single,Bachelor,Self-Employed,127742,East,667,1,3,134459,LOAN28,Business Loan,198283,84,17.18,155.22,2018-10-13,2018-10-23,Default,1,10,1.5522146200936262,155.22146200936263,2018,10,October,2018,Small,Fair,Moderate
CUST29,47,Male,Single,Bachelor,Unemployed,105777,South,845,2,1,308630,LOAN29,Car Loan,697111,48,17.61,659.04,2018-05-25,2018-05-28,Default,1,3,6.5903835427361335,659.0383542736133,2018,5,May,2018,Large,Excellent,Very High
CUST30,39,Female,Divorced,Bachelor,Unemployed,182070,South,703,4,0,168694,LOAN30,Education Loan,1277867,12,13.18,701.85,2018-08-30,2018-09-02,Default,1,3,7.018547811281375,701.8547811281376,2018,8,August,2018,Very Large,Good,Very High
CUST31,24,Male,Single,PhD,Unemployed,47551,West,596,4,0,399929,LOAN31,Home Loan,1177413,12,17.25,2476.11,2018-06-22,2018-06-28,Default,1,6,24.761056549809677,2476.1056549809678,2018,6,June,2018,Very Large,Fair,Extreme
CUST32,38,Male,Married,Bachelor,Unemployed,90021,South,523,2,3,174684,LOAN32,Home Loan,1254817,12,6.37,1393.92,2019-08-31,2019-09-06,Default,1,6,13.9391586407616,1393.91586407616,2019,8,August,2019,Very Large,Poor,Extreme
CUST33,63,Female,Divorced,High School,Unemployed,16487,East,621,0,0,157524,LOAN33,Education Loan,1435275,12,12.2,8705.5,2021-05-11,2021-05-13,Default,1,2,87.05495238672894,8705.495238672895,2021,5,May,2021,Very Large,Fair,Extreme
CUST34,58,Male,Single,Bachelor,Business,146772,West,649,1,3,198271,LOAN34,Business Loan,569633,60,7.97,388.11,2021-04-04,2021-04-10,Default,1,6,3.8810740468209195,388.10740468209195,2021,4,April,2021,Large,Fair,High
CUST35,41,Female,Single,PhD,Unemployed,126047,East,502,3,4,264075,LOAN35,Personal Loan,1190617,36,5.06,944.58,2021-08-12,2021-08-26,Default,1,14,9.445817829857116,944.5817829857116,2021,8,August,2021,Very Large,Poor,Very High
CUST36,51,Female,Divorced,Master,Business,160191,South,599,5,3,384970,LOAN36,Home Loan,543082,24,16.55,339.02,2020-01-14,2020-01-27,Default,1,13,3.3902154303300436,339.0215430330044,2020,1,January,2020,Large,Fair,High
CUST37,22,Male,Married,High School,Unemployed,194105,South,732,5,4,270403,LOAN37,Car Loan,131778,12,11.35,67.89,2022-09-09,2022-09-23,Default,1,14,0.6789005950387677,67.89005950387677,2022,9,September,2022,Small,Good,Low
CUST38,45,Male,Divorced,Bachelor,Business,100894,East,748,1,3,348052,LOAN38,Personal Loan,1368436,84,13.78,1356.31,2022-01-24,2022-01-28,Default,1,4,13.563105833845421,1356.310583384542,2022,1,January,2022,Very Large,Very Good,Extreme
CUST39,30,Female,Single,Master,Unemployed,62160,North,847,0,3,474685,LOAN39,Education Loan,1012700,24,10.4,1629.18,2019-01-29,2019-02-11,Default,1,13,16.29182754182754,1629.182754182754,2019,1,January,2019,Very Large,Excellent,Extreme
CUST40,51,Male,Divorced,Master,Business,15886,East,731,3,4,316957,LOAN40,Home Loan,64106,84,16.35,403.54,2020-11-21,2020-11-27,Default,1,6,4.035377061563641,403.5377061563641,2020,11,November,2020,Small,Good,High
CUST41,55,Female,Married,Master,Self-Employed,31367,West,451,4,0,467153,LOAN41,Personal Loan,359442,120,12.11,1145.92,2022-08-11,2022-08-17,Default,1,6,11.459240603181687,1145.9240603181688,2022,8,August,2022,Medium,Poor,Extreme
CUST42,22,Female,Married,PhD,Unemployed,123329,West,586,0,4,482267,LOAN42,Personal Loan,159616,12,14.61,129.42,2020-11-30,2020-12-15,Default,1,15,1.294229256703614,129.4229256703614,2020,11,November,2020,Small,Fair,Moderate
CUST43,62,Male,Married,Bachelor,Self-Employed,174533,South,823,1,1,317025,LOAN43,Car Loan,125241,12,12.5,71.76,2019-01-30,2019-02-02,Default,1,3,0.717577764663416,71.75777646634161,2019,1,January,2019,Small,Excellent,Low
CUST44,65,Male,Married,Master,Unemployed,141012,North,799,1,0,235417,LOAN44,Business Loan,1359238,60,17.93,963.92,2023-02-07,2023-02-14,Default,1,7,9.63916546109551,963.9165461095511,2023,2,February,2023,Very Large,Very Good,Very High
CUST45,51,Female,Single,High School,Business,166368,East,796,5,3,270001,LOAN45,Car Loan,293726,120,15.01,176.55,2019-03-23,2019-03-28,Default,1,5,1.765519811502212,176.5519811502212,2019,3,March,2019,Medium,Very Good,Moderate
CUST46,53,Male,Single,Master,Business,68053,North,524,1,1,5730,LOAN46,Personal Loan,108174,36,13.88,158.96,2019-02-15,2019-02-16,Default,1,1,1.5895551996238226,158.95551996238225,2019,2,February,2019,Small,Poor,Moderate
CUST47,40,Female,Divorced,Master,Self-Employed,45918,North,563,4,3,57799,LOAN47,Business Loan,333003,84,10.59,725.21,2021-07-09,2021-07-19,Default,1,10,7.252123350320136,725.2123350320136,2021,7,July,2021,Medium,Poor,Very High
CUST48,32,Female,Divorced,Bachelor,Unemployed,80484,Central,697,1,2,340166,LOAN48,Personal Loan,780740,12,12.94,970.06,2021-10-04,2021-10-06,Default,1,2,9.700561602306049,970.0561602306049,2021,10,October,2021,Large,Good,Very High
CUST49,24,Female,Divorced,Bachelor,Business,21818,South,793,0,1,344792,LOAN49,Home Loan,989817,36,16.63,4536.7,2020-06-11,2020-06-21,Default,1,10,45.36699055825465,4536.699055825465,2020,6,June,2020,Large,Very Good,Extreme
CUST50,32,Female,Divorced,PhD,Unemployed,131401,North,310,1,2,271955,LOAN50,Personal Loan,278978,12,16.21,212.31,2019-04-28,2019-05-06,Default,1,8,2.1231040859658603,212.31040859658603,2019,4,April,2019,Medium,Poor,Moderate
CUST51,22,Female,Single,Bachelor,Business,167841,South,821,4,1,482818,LOAN51,Personal Loan,1080305,84,11.9,643.65,2022-10-04,2022-10-09,Default,1,5,6.436478571981816,643.6478571981816,2022,10,October,2022,Very Large,Excellent,Very High
CUST52,23,Male,Single,Bachelor,Business,36529,West,870,0,2,200909,LOAN52,Car Loan,216253,48,9.36,592.0,2019-07-30,2019-08-05,Default,1,6,5.920036135673027,592.0036135673028,2019,7,July,2019,Small,Excellent,Very High
CUST53,43,Male,Divorced,High School,Salaried,87728,West,397,2,3,406396,LOAN53,Car Loan,789336,120,9.82,899.75,2019-02-27,2019-03-04,Default,1,5,8.997537844245851,899.7537844245851,2019,2,February,2019,Large,Poor,Very High
CUST54,38,Male,Divorced,Bachelor,Self-Employed,133640,West,350,2,4,9432,LOAN54,Home Loan,508106,48,12.72,380.21,2021-12-20,2021-12-29,Default,1,9,3.802050284346004,380.2050284346004,2021,12,December,2021,Large,Poor,High
CUST55,39,Male,Married,Bachelor,Self-Employed,71709,North,693,2,4,433705,LOAN55,Home Loan,1089267,48,6.4,1519.01,2021-09-13,2021-09-24,Default,1,11,15.190101660879387,1519.0101660879386,2021,9,September,2021,Very Large,Good,Extreme
CUST56,52,Female,Married,Master,Unemployed,74385,South,556,4,0,85289,LOAN56,Education Loan,1217570,48,10.95,1636.85,2019-12-19,2019-12-25,Default,1,6,16.36848827048464,1636.848827048464,2019,12,December,2019,Very Large,Poor,Extreme
CUST57,57,Male,Divorced,Bachelor,Salaried,26258,South,790,3,1,191369,LOAN57,Education Loan,232568,12,14.81,885.7,2019-10-23,2019-11-03,Default,1,11,8.8570340467667,885.70340467667,2019,10,October,2019,Small,Very Good,Very High
CUST58,33,Male,Single,Master,Business,167704,West,351,3,0,428858,LOAN58,Personal Loan,855924,60,14.04,510.38,2023-05-04,2023-05-18,Default,1,14,5.103778085197729,510.3778085197729,2023,5,May,2023,Large,Poor,Very High
CUST59,37,Male,Divorced,PhD,Salaried,88157,Central,696,5,0,216220,LOAN59,Car Loan,576778,24,15.9,654.26,2020-12-05,2020-12-06,Default,1,1,6.542622820649523,654.2622820649523,2020,12,December,2020,Large,Good,Very High
CUST60,39,Female,Married,High School,Unemployed,96116,North,844,3,0,113378,LOAN60,Business Loan,1487081,120,8.7,1547.17,2021-09-24,2021-10-07,Default,1,13,15.471732073744226,1547.1732073744226,2021,9,September,2021,Very Large,Excellent,Extreme
CUST61,25,Male,Single,Bachelor,Business,122591,Central,451,0,1,122704,LOAN61,Home Loan,810627,120,11.72,661.25,2019-06-19,2019-06-20,Default,1,1,6.612451158731065,661.2451158731064,2019,6,June,2019,Large,Poor,Very High
CUST62,28,Male,Married,High School,Unemployed,97681,North,842,2,1,234628,LOAN62,Education Loan,784700,36,12.63,803.33,2023-03-09,2023-03-14,Default,1,5,8.033292042464758,803.3292042464758,2023,3,March,2023,Large,Excellent,Very High
CUST63,41,Male,Divorced,High School,Unemployed,47919,South,597,4,1,37315,LOAN63,Personal Loan,915598,120,5.38,1910.72,2020-01-31,2020-02-04,Default,1,4,19.107201736263278,1910.7201736263278,2020,1,January,2020,Large,Fair,Extreme
CUST64,31,Female,Married,Master,Business,79553,East,887,4,4,344371,LOAN64,Business Loan,1410022,120,6.96,1772.43,2021-06-19,2021-07-02,Default,1,13,17.724309579777003,1772.4309579777002,2021,6,June,2021,Very Large,Excellent,Extreme
CUST65,65,Male,Married,Bachelor,Business,101238,South,842,3,4,136468,LOAN65,Education Loan,724700,48,17.57,715.84,2019-09-22,2019-09-26,Default,1,4,7.158379264702977,715.8379264702977,2019,9,September,2019,Large,Excellent,Very High
CUST66,65,Female,Divorced,Master,Business,134471,South,666,3,4,409878,LOAN66,Education Loan,210731,120,7.92,156.71,2023-05-03,2023-05-16,Default,1,13,1.5671111243316402,156.71111243316403,2023,5,May,2023,Small,Fair,Moderate
CUST67,23,Female,Married,Master,Business,55061,South,346,5,3,429103,LOAN67,Home Loan,406383,24,16.75,738.06,2022-04-05,2022-04-06,Default,1,1,7.380596066181145,738.0596066181145,2022,4,April,2022,Medium,Poor,Very High
CUST68,29,Male,Single,Bachelor,Salaried,122855,West,712,4,0,148573,LOAN68,Business Loan,620882,24,5.57,505.38,2018-06-02,2018-06-05,Default,1,3,5.053778844979854,505.37788449798546,2018,6,June,2018,Large,Good,Very High
CUST69,50,Female,Divorced,Master,Salaried,46086,East,763,1,0,495905,LOAN69,Home Loan,415560,24,14.49,901.71,2023-05-22,2023-05-31,Default,1,9,9.017055070954303,901.7055070954303,2023,5,May,2023,Medium,Very Good,Very High
CUST70,60,Female,Married,High School,Self-Employed,24911,West,672,0,2,299927,LOAN70,Personal Loan,1035616,24,10.23,4157.26,2020-10-01,2020-10-13,Default,1,12,41.572638593392476,4157.263859339248,2020,10,October,2020,Very Large,Good,Extreme
CUST71,33,Female,Married,Bachelor,Salaried,31830,Central,538,0,2,481666,LOAN71,Business Loan,1405797,48,13.43,4416.58,2021-12-16,2021-12-30,Default,1,14,44.16578699340245,4416.578699340245,2021,12,December,2021,Very Large,Poor,Extreme
CUST72,28,Female,Married,Bachelor,Salaried,123863,Central,870,0,3,95133,LOAN72,Business Loan,1225696,60,6.21,989.56,2021-07-25,2021-08-07,Default,1,13,9.895578179117251,989.5578179117251,2021,7,July,2021,Very Large,Excellent,Very High
CUST73,27,Male,Single,Bachelor,Business,162743,South,323,4,4,189530,LOAN73,Personal Loan,1005114,24,5.81,617.61,2021-12-27,2022-01-06,Default,1,10,6.176081306108404,617.6081306108405,2021,12,December,2022,Very Large,Poor,Very High
CUST74,54,Female,Married,PhD,Self-Employed,84294,Central,368,3,4,459395,LOAN74,Education Loan,1227850,120,13.69,1456.63,2022-08-29,2022-09-02,Default,1,4,14.56627992502432,1456.627992502432,2022,8,August,2022,Very Large,Poor,Extreme
CUST75,33,Male,Divorced,PhD,Business,137050,East,397,4,1,97646,LOAN75,Education Loan,179741,24,17.57,131.15,2023-06-07,2023-06-13,Default,1,6,1.3114994527544692,131.14994527544692,2023,6,June,2023,Small,Poor,Moderate
CUST76,23,Female,Divorced,Bachelor,Self-Employed,105733,South,762,3,4,402082,LOAN76,Personal Loan,1238011,36,17.06,1170.88,2021-04-04,2021-04-18,Default,1,14,11.708842083360919,1170.884208336092,2021,4,April,2021,Very Large,Very Good,Extreme
CUST77,59,Male,Single,PhD,Unemployed,149201,West,500,0,2,385263,LOAN77,Personal Loan,414626,12,6.42,277.9,2019-08-09,2019-08-13,Default,1,4,2.7789760122251193,277.8976012225119,2019,8,August,2019,Medium,Poor,Moderate
CUST78,36,Female,Single,PhD,Self-Employed,141565,South,346,5,0,257247,LOAN78,Home Loan,1105124,48,8.23,780.65,2018-07-17,2018-07-30,Default,1,13,7.806477589799739,780.6477589799739,2018,7,July,2018,Very Large,Poor,Very High
CUST79,61,Male,Divorced,PhD,Business,68349,Central,713,0,0,43347,LOAN79,Personal Loan,908231,48,13.63,1328.81,2021-11-02,2021-11-14,Default,1,12,13.288138816954161,1328.813881695416,2021,11,November,2021,Large,Good,Extreme
CUST80,44,Female,Married,High School,Self-Employed,139252,West,693,3,2,162839,LOAN80,Business Loan,1076037,24,9.07,772.73,2021-11-06,2021-11-19,Default,1,13,7.727264240369977,772.7264240369977,2021,11,November,2021,Very Large,Good,Very High
CUST81,24,Male,Divorced,High School,Unemployed,167231,South,712,5,4,322489,LOAN81,Personal Loan,1326300,48,12.1,793.09,2022-09-20,2022-09-21,Default,1,1,7.9309458174620735,793.0945817462074,2022,9,September,2022,Very Large,Good,Very High
CUST82,32,Female,Divorced,Master,Salaried,79655,West,709,1,1,446097,LOAN82,Personal Loan,1283162,24,8.56,1610.9,2019-02-01,2019-02-07,Default,1,6,16.108995041114806,1610.8995041114806,2019,2,February,2019,Very Large,Good,Extreme
CUST83,30,Female,Divorced,High School,Self-Employed,186488,South,387,5,3,355527,LOAN83,Education Loan,598213,60,8.03,320.78,2022-12-03,2022-12-18,Default,1,15,3.2077828064004117,320.77828064004115,2022,12,December,2022,Large,Poor,High
CUST84,25,Female,Single,Bachelor,Self-Employed,62557,East,855,1,1,163476,LOAN84,Home Loan,536890,48,17.39,858.24,2022-10-01,2022-10-12,Default,1,11,8.582412839490384,858.2412839490385,2022,10,October,2022,Large,Excellent,Very High
CUST85,39,Female,Divorced,Master,Salaried,183702,Central,331,3,0,264142,LOAN85,Education Loan,1194382,84,12.25,650.17,2019-11-07,2019-11-17,Default,1,10,6.501736508040196,650.1736508040196,2019,11,November,2019,Very Large,Poor,Very High
CUST86,27,Female,Single,Bachelor,Business,108562,East,401,1,3,276715,LOAN86,Home Loan,154535,120,7.12,142.35,2022-09-25,2022-09-26,Default,1,1,1.423472301541976,142.3472301541976,2022,9,September,2022,Small,Poor,Moderate
CUST87,54,Male,Divorced,High School,Unemployed,162390,Central,662,4,3,363046,LOAN87,Personal Loan,309787,12,9.43,190.77,2022-08-01,2022-08-07,Default,1,6,1.9076728862614694,190.76728862614692,2022,8,August,2022,Medium,Fair,Moderate
CUST88,36,Female,Single,Bachelor,Salaried,156801,South,717,5,2,90851,LOAN88,Education Loan,424893,24,14.85,270.98,2021-09-03,2021-09-14,Default,1,11,2.7097595040847953,270.97595040847955,2021,9,September,2021,Medium,Good,Moderate
CUST89,21,Male,Married,PhD,Business,152240,South,588,5,2,346534,LOAN89,Personal Loan,372453,84,12.03,244.65,2020-07-02,2020-07-06,Default,1,4,2.446485811875985,244.64858118759852,2020,7,July,2020,Medium,Fair,Moderate
CUST90,62,Female,Married,Bachelor,Unemployed,188257,Central,404,0,0,99581,LOAN90,Business Loan,848117,12,14.75,450.51,2019-04-03,2019-04-06,Default,1,3,4.505102067917793,450.5102067917793,2019,4,April,2019,Large,Poor,High
CUST91,35,Female,Divorced,High School,Salaried,33259,West,850,2,4,154030,LOAN91,Education Loan,281635,84,14.61,846.79,2018-12-10,2018-12-11,Default,1,1,8.46793349168646,846.793349168646,2018,12,December,2018,Medium,Excellent,Very High
CUST92,50,Female,Divorced,PhD,Self-Employed,105172,North,551,2,2,424045,LOAN92,Car Loan,541320,48,6.36,514.7,2018-11-23,2018-11-25,Default,1,2,5.146997299661507,514.6997299661507,2018,11,November,2018,Large,Poor,Very High
CUST93,24,Female,Single,Bachelor,Self-Employed,102455,West,877,4,2,290970,LOAN93,Car Loan,770793,36,14.34,752.32,2018-12-18,2018-12-20,Default,1,2,7.523234590795959,752.323459079596,2018,12,December,2018,Large,Excellent,Very High
CUST94,24,Female,Divorced,PhD,Business,43064,East,521,4,2,150109,LOAN94,Home Loan,1483487,24,10.57,3444.84,2018-04-08,2018-04-12,Default,1,4,34.448425599108305,3444.8425599108305,2018,4,April,2018,Very Large,Poor,Extreme
CUST95,43,Female,Married,High School,Self-Employed,94386,West,584,1,0,188680,LOAN95,Education Loan,982174,60,12.31,1040.59,2023-01-26,2023-01-29,Default,1,3,10.405928845379611,1040.592884537961,2023,1,January,2023,Large,Fair,Extreme
CUST96,21,Female,Single,PhD,Unemployed,134511,Central,365,4,2,392438,LOAN96,Education Loan,350371,36,15.63,260.48,2018-04-15,2018-04-28,Default,1,13,2.6047758175911264,260.47758175911264,2018,4,April,2018,Medium,Poor,Moderate
CUST97,49,Male,Married,High School,Self-Employed,70325,West,594,1,0,310048,LOAN97,Home Loan,339201,60,8.62,482.33,2019-06-22,2019-06-24,Default,1,2,4.823334518307856,482.33345183078563,2019,6,June,2019,Medium,Fair,High
CUST98,30,Female,Divorced,PhD,Unemployed,29427,North,514,1,0,196533,LOAN98,Home Loan,441064,24,17.81,1498.84,2023-01-13,2023-01-16,Default,1,3,14.988412002582661,1498.841200258266,2023,1,January,2023,Medium,Poor,Extreme
CUST99,23,Male,Single,High School,Salaried,78749,West,784,1,2,132098,LOAN99,Home Loan,174858,84,11.54,222.04,2022-12-02,2022-12-11,Default,1,9,2.220447243774524,222.0447243774524,2022,12,December,2022,Small,Very Good,Moderate
CUST100,48,Female,Divorced,Master,Self-Employed,76871,North,754,2,0,219578,LOAN100,Education Loan,201096,48,9.94,261.6,2019-05-11,2019-05-19,Default,1,8,2.6160190448933927,261.6019044893393,2019,5,May,2019,Small,Very Good,Moderate
CUST101,57,Male,Divorced,Master,Business,180007,North,490,1,1,183472,LOAN101,Car Loan,222199,36,10.31,123.44,2020-10-02,2020-10-12,Default,1,10,1.2343908847989244,123.43908847989245,2020,10,October,2020,Small,Poor,Moderate
CUST102,40,Female,Single,Bachelor,Unemployed,117135,South,369,2,4,195623,LOAN102,Education Loan,686576,24,14.23,586.14,2018-09-02,2018-09-05,Default,1,3,5.8614077773509194,586.1407777350919,2018,9,September,2018,Large,Poor,Very High
CUST103,40,Female,Single,PhD,Business,181356,East,660,0,4,482035,LOAN103,Home Loan,704467,36,10.63,388.44,2022-11-11,2022-11-15,Default,1,4,3.8844427534793446,388.4442753479345,2022,11,November,2022,Large,Fair,High
CUST104,58,Male,Single,Bachelor,Self-Employed,133316,North,799,0,4,54614,LOAN104,Car Loan,1331622,60,9.78,998.85,2018-07-31,2018-08-12,Default,1,12,9.988463500255033,998.8463500255033,2018,7,July,2018,Very Large,Very Good,Very High
CUST105,26,Female,Single,Master,Salaried,154686,West,751,4,2,425464,LOAN105,Personal Loan,662465,84,16.45,428.26,2022-01-17,2022-01-19,Default,1,2,4.282643548866736,428.26435488667363,2022,1,January,2022,Large,Very Good,High
CUST106,31,Female,Married,High School,Self-Employed,199327,West,798,4,0,57193,LOAN106,Personal Loan,534389,60,12.02,268.1,2020-10-25,2020-10-26,Default,1,1,2.6809664521113548,268.09664521113547,2020,10,October,2020,Large,Very Good,Moderate
CUST107,62,Female,Single,High School,Self-Employed,39933,East,764,3,0,434685,LOAN107,Car Loan,564830,48,14.52,1414.44,2021-11-14,2021-11-22,Default,1,8,14.14444194024992,1414.444194024992,2021,11,November,2021,Large,Very Good,Extreme
CUST108,59,Female,Single,Master,Business,38348,Central,517,2,0,31086,LOAN108,Car Loan,1347864,84,12.96,3514.82,2019-01-20,2019-01-24,Default,1,4,35.14822155001565,3514.822155001565,2019,1,January,2019,Very Large,Poor,Extreme
CUST109,64,Female,Divorced,PhD,Salaried,139509,North,358,5,1,417057,LOAN109,Car Loan,1368547,36,10.4,980.97,2021-01-11,2021-01-17,Default,1,6,9.809739873413184,980.9739873413184,2021,1,January,2021,Very Large,Poor,Very High
